time_iso8601,stars_cumulative
2019-08-27 00:00:00+00:00,1642
2019-08-28 00:00:00+00:00,1644
2019-08-29 00:00:00+00:00,1645
2019-08-30 00:00:00+00:00,1649
2019-08-31 00:00:00+00:00,1653
2019-09-01 00:00:00+00:00,1655
2019-09-02 00:00:00+00:00,1658
2019-09-03 00:00:00+00:00,1659
2019-09-04 00:00:00+00:00,1662
2019-09-05 00:00:00+00:00,1670
2019-09-06 00:00:00+00:00,1674
2019-09-07 00:00:00+00:00,1680
2019-09-08 00:00:00+00:00,1684
2019-09-09 00:00:00+00:00,1687
2019-09-10 00:00:00+00:00,1691
2019-09-11 00:00:00+00:00,1696
2019-09-12 00:00:00+00:00,1697
2019-09-13 00:00:00+00:00,1698
2019-09-14 00:00:00+00:00,1700
2019-09-15 00:00:00+00:00,1702
2019-09-16 00:00:00+00:00,1708
2019-09-17 00:00:00+00:00,1714
2019-09-18 00:00:00+00:00,1721
2019-09-19 00:00:00+00:00,1725
2019-09-20 00:00:00+00:00,1727
2019-09-21 00:00:00+00:00,1728
2019-09-22 00:00:00+00:00,1730
2019-09-23 00:00:00+00:00,1735
2019-09-24 00:00:00+00:00,1744
2019-09-25 00:00:00+00:00,1762
2019-09-26 00:00:00+00:00,1796
2019-09-27 00:00:00+00:00,1876
2019-09-28 00:00:00+00:00,1896
2019-09-29 00:00:00+00:00,1943
2019-09-30 00:00:00+00:00,1947
2019-10-01 00:00:00+00:00,1952
2019-10-02 00:00:00+00:00,1958
2019-10-03 00:00:00+00:00,1967
2019-10-04 00:00:00+00:00,1981
2019-10-05 00:00:00+00:00,1988
2019-10-06 00:00:00+00:00,1990
2019-10-07 00:00:00+00:00,1993
2019-10-08 00:00:00+00:00,2000
2019-10-09 00:00:00+00:00,2003
2019-10-10 00:00:00+00:00,2010
2019-10-11 00:00:00+00:00,2013
2019-10-12 00:00:00+00:00,2014
2019-10-13 00:00:00+00:00,2015
2019-10-14 00:00:00+00:00,2019
2019-10-15 00:00:00+00:00,2023
2019-10-16 00:00:00+00:00,2027
2019-10-17 00:00:00+00:00,2030
2019-10-18 00:00:00+00:00,2034
2019-10-19 00:00:00+00:00,2035
2019-10-20 00:00:00+00:00,2037
2019-10-21 00:00:00+00:00,2039
2019-10-22 00:00:00+00:00,2042
2019-10-23 00:00:00+00:00,2046
2019-10-24 00:00:00+00:00,2052
2019-10-25 00:00:00+00:00,2066
2019-10-26 00:00:00+00:00,2068
2019-10-27 00:00:00+00:00,2075
2019-10-28 00:00:00+00:00,2084
2019-10-29 00:00:00+00:00,2090
2019-10-30 00:00:00+00:00,2095
2019-10-31 00:00:00+00:00,2101
2019-11-01 00:00:00+00:00,2107
2019-11-02 00:00:00+00:00,2108
2019-11-03 00:00:00+00:00,2110
2019-11-04 00:00:00+00:00,2114
2019-11-05 00:00:00+00:00,2118
2019-11-06 00:00:00+00:00,2124
2019-11-07 00:00:00+00:00,2127
2019-11-08 00:00:00+00:00,2131
2019-11-09 00:00:00+00:00,2133
2019-11-10 00:00:00+00:00,2136
2019-11-11 00:00:00+00:00,2139
2019-11-12 00:00:00+00:00,2143
2019-11-13 00:00:00+00:00,2160
