time_iso8601,forks_cumulative
2021-01-21 00:00:00+00:00,793
2021-01-22 00:00:00+00:00,796
2021-01-23 00:00:00+00:00,797
2021-01-26 00:00:00+00:00,798
2021-01-27 00:00:00+00:00,801
2021-02-01 00:00:00+00:00,803
2021-02-02 00:00:00+00:00,804
2021-02-03 00:00:00+00:00,805
2021-02-04 00:00:00+00:00,806
2021-02-07 00:00:00+00:00,807
2021-02-08 00:00:00+00:00,809
2021-02-11 00:00:00+00:00,810
2021-02-12 00:00:00+00:00,811
2021-02-15 00:00:00+00:00,812
2021-02-16 00:00:00+00:00,814
2021-02-22 00:00:00+00:00,815
2021-02-23 00:00:00+00:00,817
2021-02-25 00:00:00+00:00,819
2021-02-28 00:00:00+00:00,820
2021-03-02 00:00:00+00:00,821
2021-03-03 00:00:00+00:00,822
2021-03-05 00:00:00+00:00,825
2021-03-09 00:00:00+00:00,826
2021-03-10 00:00:00+00:00,828
2021-03-11 00:00:00+00:00,829
2021-03-12 00:00:00+00:00,831
2021-03-13 00:00:00+00:00,832
2021-03-16 00:00:00+00:00,834
2021-03-17 00:00:00+00:00,836
2021-03-18 00:00:00+00:00,838
2021-03-19 00:00:00+00:00,840
2021-03-20 00:00:00+00:00,841
2021-03-24 00:00:00+00:00,843
2021-03-29 00:00:00+00:00,847
2021-03-30 00:00:00+00:00,849
2021-03-31 00:00:00+00:00,850
2021-04-03 00:00:00+00:00,851
2021-04-06 00:00:00+00:00,852
2021-04-07 00:00:00+00:00,853
2021-04-08 00:00:00+00:00,854
2021-04-09 00:00:00+00:00,855
2021-04-10 00:00:00+00:00,856
2021-04-12 00:00:00+00:00,857
2021-04-16 00:00:00+00:00,858
2021-04-17 00:00:00+00:00,859
2021-04-20 00:00:00+00:00,862
2021-04-21 00:00:00+00:00,863
2021-04-22 00:00:00+00:00,867
2021-04-23 00:00:00+00:00,868
2021-04-26 00:00:00+00:00,871
2021-04-27 00:00:00+00:00,875
2021-05-03 00:00:00+00:00,879
2021-05-04 00:00:00+00:00,881
2021-05-06 00:00:00+00:00,883
2021-05-07 00:00:00+00:00,884
2021-05-08 00:00:00+00:00,885
2021-05-11 00:00:00+00:00,888
2021-05-14 00:00:00+00:00,890
2021-05-16 00:00:00+00:00,891
2021-05-17 00:00:00+00:00,892
2021-05-18 00:00:00+00:00,894
2021-05-19 00:00:00+00:00,895
2021-05-20 00:00:00+00:00,896
2021-05-23 00:00:00+00:00,897
2021-05-24 00:00:00+00:00,899
2021-05-27 00:00:00+00:00,900
2021-05-31 00:00:00+00:00,901
2021-06-01 00:00:00+00:00,903
2021-06-04 00:00:00+00:00,904
2021-06-06 00:00:00+00:00,905
2021-06-08 00:00:00+00:00,906
2021-06-09 00:00:00+00:00,910
2021-06-10 00:00:00+00:00,912
2021-06-11 00:00:00+00:00,914
2021-06-15 00:00:00+00:00,919
2021-06-16 00:00:00+00:00,920
2021-06-17 00:00:00+00:00,924
2021-06-18 00:00:00+00:00,925
2021-06-20 00:00:00+00:00,926
2021-06-21 00:00:00+00:00,928
2021-06-22 00:00:00+00:00,931
2021-06-24 00:00:00+00:00,932
2021-06-27 00:00:00+00:00,933
2021-06-28 00:00:00+00:00,935
2021-06-29 00:00:00+00:00,936
2021-06-30 00:00:00+00:00,937
2021-07-02 00:00:00+00:00,939
2021-07-03 00:00:00+00:00,940
2021-07-04 00:00:00+00:00,941
2021-07-05 00:00:00+00:00,943
2021-07-06 00:00:00+00:00,944
2021-07-09 00:00:00+00:00,946
2021-07-12 00:00:00+00:00,949
2021-07-13 00:00:00+00:00,950
2021-07-14 00:00:00+00:00,952
2021-07-15 00:00:00+00:00,953
2021-07-16 00:00:00+00:00,954
2021-07-17 00:00:00+00:00,955
2021-07-21 00:00:00+00:00,958
2021-07-23 00:00:00+00:00,959
2021-07-25 00:00:00+00:00,960
2021-07-26 00:00:00+00:00,962
2021-07-29 00:00:00+00:00,963
2021-07-30 00:00:00+00:00,964
2021-08-02 00:00:00+00:00,965
2021-08-03 00:00:00+00:00,966
2021-08-04 00:00:00+00:00,968
2021-08-05 00:00:00+00:00,970
2021-08-06 00:00:00+00:00,971
2021-08-09 00:00:00+00:00,972
2021-08-10 00:00:00+00:00,974
2021-08-11 00:00:00+00:00,978
2021-08-13 00:00:00+00:00,980
2021-08-15 00:00:00+00:00,981
2021-08-17 00:00:00+00:00,984
2021-08-18 00:00:00+00:00,986
2021-08-19 00:00:00+00:00,988
2021-08-20 00:00:00+00:00,989
2021-08-24 00:00:00+00:00,991
2021-08-26 00:00:00+00:00,995
2021-08-30 00:00:00+00:00,997
2021-08-31 00:00:00+00:00,998
2021-09-01 00:00:00+00:00,999
2021-09-03 00:00:00+00:00,1004
2021-09-04 00:00:00+00:00,1007
2021-09-05 00:00:00+00:00,1009
2021-09-07 00:00:00+00:00,1011
2021-09-08 00:00:00+00:00,1012
2021-09-10 00:00:00+00:00,1013
2021-09-11 00:00:00+00:00,1014
2021-09-13 00:00:00+00:00,1016
2021-09-14 00:00:00+00:00,1017
2021-09-17 00:00:00+00:00,1018
2021-09-18 00:00:00+00:00,1019
2021-09-20 00:00:00+00:00,1020
2021-09-21 00:00:00+00:00,1022
2021-09-22 00:00:00+00:00,1024
2021-09-24 00:00:00+00:00,1025
2021-09-28 00:00:00+00:00,1026
2021-09-30 00:00:00+00:00,1027
2021-10-03 00:00:00+00:00,1028
2021-10-04 00:00:00+00:00,1032
2021-10-09 00:00:00+00:00,1033
2021-10-10 00:00:00+00:00,1034
2021-10-11 00:00:00+00:00,1035
2021-10-12 00:00:00+00:00,1036
2021-10-13 00:00:00+00:00,1039
2021-10-15 00:00:00+00:00,1040
2021-10-17 00:00:00+00:00,1041
2021-10-22 00:00:00+00:00,1042
2021-10-24 00:00:00+00:00,1043
2021-10-26 00:00:00+00:00,1044
2021-10-28 00:00:00+00:00,1046
2021-10-29 00:00:00+00:00,1047
2021-11-01 00:00:00+00:00,1048
2021-11-02 00:00:00+00:00,1049
2021-11-03 00:00:00+00:00,1050
2021-11-05 00:00:00+00:00,1051
2021-11-07 00:00:00+00:00,1053
2021-11-08 00:00:00+00:00,1054
2021-11-09 00:00:00+00:00,1059
2021-11-10 00:00:00+00:00,1061
2021-11-13 00:00:00+00:00,1062
2021-11-15 00:00:00+00:00,1065
2021-11-16 00:00:00+00:00,1066
2021-11-17 00:00:00+00:00,1067
2021-11-19 00:00:00+00:00,1069
2021-11-22 00:00:00+00:00,1072
2021-11-23 00:00:00+00:00,1075
2021-11-25 00:00:00+00:00,1077
2021-11-29 00:00:00+00:00,1078
2021-11-30 00:00:00+00:00,1079
2021-12-01 00:00:00+00:00,1080
2021-12-06 00:00:00+00:00,1081
2021-12-07 00:00:00+00:00,1083
2021-12-08 00:00:00+00:00,1084
2021-12-10 00:00:00+00:00,1085
2021-12-14 00:00:00+00:00,1086
2021-12-17 00:00:00+00:00,1089
2021-12-20 00:00:00+00:00,1090
2021-12-21 00:00:00+00:00,1091
2021-12-26 00:00:00+00:00,1092
2021-12-27 00:00:00+00:00,1093
2021-12-29 00:00:00+00:00,1096
2022-01-03 00:00:00+00:00,1098
2022-01-05 00:00:00+00:00,1099
2022-01-07 00:00:00+00:00,1101
2022-01-08 00:00:00+00:00,1102
2022-01-10 00:00:00+00:00,1103
2022-01-11 00:00:00+00:00,1105
2022-01-13 00:00:00+00:00,1106
2022-01-14 00:00:00+00:00,1107
2022-01-15 00:00:00+00:00,1108
2022-01-16 00:00:00+00:00,1109
2022-01-18 00:00:00+00:00,1111
2022-01-19 00:00:00+00:00,1112
2022-01-21 00:00:00+00:00,1114
2022-01-22 00:00:00+00:00,1115
2022-01-24 00:00:00+00:00,1116
2022-01-25 00:00:00+00:00,1117
2022-01-26 00:00:00+00:00,1118
2022-01-28 00:00:00+00:00,1120
2022-01-31 00:00:00+00:00,1122
2022-02-01 00:00:00+00:00,1124
2022-02-03 00:00:00+00:00,1127
2022-02-07 00:00:00+00:00,1129
2022-02-08 00:00:00+00:00,1132
2022-02-09 00:00:00+00:00,1135
2022-02-10 00:00:00+00:00,1138
